scenario_id,golden_overall,golden_annex22,llm_stop,dynamic_stop
S01,HIGH,Critical,True,True
S02,HIGH,Critical,False,False
S03,LOW,Non-critical,False,False
S04,HIGH,Critical,True,False
S05,MEDIUM,Significant,True,False
S06,LOW,Non-critical,False,False
S07,LOW,Non-critical,False,False
S08,HIGH,Critical,False,False
S09,MEDIUM,Significant,False,True
S10,HIGH,Critical,True,False
S11,HIGH,Critical,False,False
S12,LOW,Non-critical,False,False
S13,HIGH,Critical,True,False
S14,LOW,Non-critical,False,False
S15,HIGH,Critical,False,True
S16,MEDIUM,Significant,False,False
S17,HIGH,Critical,False,False
S18,LOW,Non-critical,False,False
S19,HIGH,Critical,True,False
S20,MEDIUM,Significant,True,False
S21,MEDIUM,Significant,False,True
S22,HIGH,Critical,True,False
S23,HIGH,Critical,False,False
S24,HIGH,Critical,False,True
S25,LOW,Non-critical,False,False
S26,HIGH,Critical,True,False
S27,MEDIUM,Significant,True,False
S28,LOW,Non-critical,False,False
S29,HIGH,Critical,False,True
S30,MEDIUM,Significant,True,False
S31,LOW,Non-critical,False,False
S32,HIGH,Critical,True,True
S33,HIGH,Critical,False,False
S34,HIGH,Critical,True,False
S35,LOW,Non-critical,False,False
S36,HIGH,Critical,True,False
S37,HIGH,Critical,True,False
S38,HIGH,Critical,False,True
S39,MEDIUM,Significant,True,False
S40,LOW,Non-critical,False,False
S41,MEDIUM,Significant,False,False
S42,HIGH,Critical,True,False
S43,LOW,Non-critical,False,False
S44,MEDIUM,Significant,True,False
S45,HIGH,Critical,False,True
S46,HIGH,Critical,True,False
S47,MEDIUM,Significant,True,False
S48,MEDIUM,Significant,False,True
S49,HIGH,Critical,True,False
S50,LOW,Non-critical,False,False
